CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
FELONY ASSAULT,08/26/2014 09:00:00 PM,14-043396,ASSAULT WITH FIREARM ON PERSON,29X,5900 MACARTHUR BLVD,Oakland,CA,"5900 MACARTHUR BLVD
Oakland, CA
(37.77649982100047, -122.18389591399972)"
DOMESTIC VIOLENCE,08/26/2014 10:25:00 PM,14-043398,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,1000 POPLAR ST,Oakland,CA,"1000 POPLAR ST
Oakland, CA
(37.80743262800047, -122.29026366999972)"
ROBBERY,08/26/2014 09:30:00 PM,14-043400,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32X,900 107TH AV,Oakland,CA,"900 107TH AV
Oakland, CA
(37.7345752170005, -122.17322732999969)"
MISDEMEANOR ASSAULT,08/26/2014 08:40:00 PM,14-043389,BATTERY,03Y,900 BROADWAY,Oakland,CA,"900 BROADWAY
Oakland, CA
(37.800939574000495, -122.27325605299973)"
MISDEMEANOR ASSAULT,08/26/2014 05:00:00 PM,14-043390,THREAT CRIME:INT:TERRORIZE,31X,7100 EDGEWATER DR,Oakland,CA,"7100 EDGEWATER DR
Oakland, CA
(37.749156806000485, -122.20932080599971)"
STOLEN VEHICLE,08/26/2014 04:00:00 PM,14-043392,VEHICLE THEFT - AUTO,08X,3100 TELEGRAPH AV,Oakland,CA,"3100 TELEGRAPH AV
Oakland, CA
(37.820362598000486, -122.26678685199971)"
PETTY THEFT,08/25/2014 09:00:00 PM,14-043377,THEFT,12X,500 42ND ST,Oakland,CA,"500 42ND ST
Oakland, CA
(37.83089452900049, -122.26409458499973)"
DOMESTIC VIOLENCE,08/26/2014 08:45:00 PM,14-043382,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,3700 BROOKDALE AV,Oakland,CA,"3700 BROOKDALE AV
Oakland, CA
(37.78630345200048, -122.20842953899972)"
ROBBERY,08/26/2014 08:51:00 PM,14-043386,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1900 MARIN WY,Oakland,CA,"1900 MARIN WY
Oakland, CA
(37.78683183400045, -122.24050413199973)"
MISDEMEANOR ASSAULT,08/26/2014 07:30:00 PM,14-043369,BATTERY,30Y,7900 MACARTHUR BLVD,Oakland,CA,"7900 MACARTHUR BLVD
Oakland, CA
(37.76520308300047, -122.1670265629997)"
BURG - RESIDENTIAL,08/26/2014 12:00:00 AM,14-043375,BURGLARY-FORCIBLE ENTRY,30X,7100 FAVOR ST,Oakland,CA,"7100 FAVOR ST
Oakland, CA
(37.762602168000456, -122.18492875099969)"
NARCOTICS,08/26/2014 07:23:00 PM,14-043376,POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/PRIOR,14X,300 GRAND AV,Oakland,CA,"300 GRAND AV
Oakland, CA
(37.80903797300044, -122.25685763899969)"
BURG - RESIDENTIAL,08/26/2014 09:30:00 AM,14-043347,BURGLARY-FORCIBLE ENTRY,30Y,2600 74TH AV,Oakland,CA,"2600 74TH AV
Oakland, CA
(37.76629869900046, -122.17490773799972)"
BURG - RESIDENTIAL,08/26/2014 08:00:00 AM,14-043348,BURGLARY-FORCIBLE ENTRY,12Y,00 REATA PL.,Oakland,CA,"00 REATA PL.
Oakland, CA
(37.85113642100049, -122.24109822699972)"
BURG - RESIDENTIAL,08/26/2014 11:00:00 AM,14-043352,BURGLARY-FORCIBLE ENTRY,23X,1500 36TH AV,Oakland,CA,"1500 36TH AV
Oakland, CA
(37.77724421200048, -122.22094216699969)"
NARCOTICS,08/26/2014 04:44:00 PM,14-043355,POSSESS MARIJUANA/HASHISH FOR SALE,34X,1900 AUSEON AV,Oakland,CA,"1900 AUSEON AV
Oakland, CA
(37.75469521000048, -122.17101725399971)"
STOLEN VEHICLE,08/26/2014 04:30:00 AM,14-043357,VEHICLE THEFT - AUTO,31Z,10600 TOPANGA DR,Oakland,CA,"10600 TOPANGA DR
Oakland, CA
(37.728190662000486, -122.17913997899973)"
STOLEN VEHICLE,08/25/2014 05:00:00 PM,14-043358,VEHICLE THEFT - AUTO,21X,2900 23RD AV,Oakland,CA,"2900 23RD AV
Oakland, CA
(37.79559084400046, -122.22603755799969)"
NARCOTICS,08/26/2014 07:07:00 PM,14-043360,POSSESS CONTROLLED SUBSTANCE,19X,1400 8TH AV,Oakland,CA,"1400 8TH AV
Oakland, CA
(37.793548375000455, -122.25115378699968)"
DOMESTIC VIOLENCE,08/26/2014 03:10:00 PM,14-043362,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21X,1900 26TH AV,Oakland,CA,"1900 26TH AV
Oakland, CA
(37.78485042500046, -122.22864632399973)"
ROBBERY,08/26/2014 06:50:00 PM,14-043364,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27Y,6000 INTERNATIONAL BLVD,Oakland,CA,"6000 INTERNATIONAL BLVD
Oakland, CA
(37.76467321000047, -122.19853630599971)"
ROBBERY,08/26/2014 07:20:00 PM,14-043367,ATTEMPTED ROBBERY-FIREARM,17Y,2500 10TH AV,Oakland,CA,"2500 10TH AV
Oakland, CA
(37.79931810900047, -122.23944396099972)"
DOMESTIC VIOLENCE,08/26/2014 07:17:00 PM,14-043368,INFLICT CRPL INJ SP/COHAB,34X,8800 HOLLY ST,Oakland,CA,"8800 HOLLY ST
Oakland, CA
(37.75171027200048, -122.17372050999973)"
BURG - AUTO,08/26/2014 01:00:00 AM,14-043330,BURGLARY-AUTO,27X,2500 COURTLAND AV,Oakland,CA,"2500 COURTLAND AV
Oakland, CA
(37.78150348300045, -122.20345259599969)"
BURG - RESIDENTIAL,08/26/2014 09:30:00 AM,14-043332,BURGLARY-FORCIBLE ENTRY,30Y,2600 PARKER AV,Oakland,CA,"2600 PARKER AV
Oakland, CA
(37.76364613500044, -122.1721441849997)"
BURG - RESIDENTIAL,08/26/2014 06:00:00 AM,14-043333,BURGLARY-FORCIBLE ENTRY,30Y,2600 PARKER AVE,Oakland,CA,"2600 PARKER AVE
Oakland, CA
(37.76364613500044, -122.1721441849997)"
MISDEMEANOR ASSAULT,08/26/2014 04:48:00 PM,14-043335,BATTERY,10Y,5200 WEST ST,Oakland,CA,"5200 WEST ST
Oakland, CA
(37.83719102500049, -122.26921289399968)"
DOMESTIC VIOLENCE,08/26/2014 04:25:00 PM,14-043336,INFLICT CRPL INJ SP/COHAB,33X,1200 90TH AV,Oakland,CA,"1200 90TH AV
Oakland, CA
(37.74829428400045, -122.17778806099972)"
BURG - RESIDENTIAL,08/27/2014 12:00:00 AM,14-043337,BURGLARY-FORCIBLE ENTRY,30Y,2600 PARKER AVE,Oakland,CA,"2600 PARKER AVE
Oakland, CA
(37.76364613500044, -122.1721441849997)"
STOLEN VEHICLE,08/26/2014 02:20:00 PM,14-043338,VEHICLE THEFT - AUTO,04X,2200 VALLEY ST,Oakland,CA,"2200 VALLEY ST
Oakland, CA
(37.811171870000464, -122.2679565849997)"
RECOVERED O/S STOLEN,08/26/2014 05:15:00 PM,14-043339,VEHICLE THEFT - AUTO,27Y,5600 EDGERLY ST,Oakland,CA,"5600 EDGERLY ST
Oakland, CA
(37.76943314500045, -122.19861948799968)"
BURG - RESIDENTIAL,08/26/2014 09:00:00 AM,14-043340,BURGLARY-FORCIBLE ENTRY,28X,5300 FLEMING AV,Oakland,CA,"5300 FLEMING AV
Oakland, CA
(37.77658280200046, -122.1935293839997)"
PETTY THEFT,08/26/2014 01:30:00 PM,14-043342,THEFT,31Z,10000 PIPPIN ST,Oakland,CA,"10000 PIPPIN ST
Oakland, CA
(37.73761378400047, -122.1788896429997)"
NARCOTICS,08/26/2014 05:45:00 PM,14-043344,POSSESS NARCOTIC CONTROLLED SUBSTANCE,06X,600 SYCAMORE ST,Oakland,CA,"600 SYCAMORE ST
Oakland, CA
(37.815463569000485, -122.27034454399973)"
BURG - COMMERCIAL,08/31/2014 04:07:00 AM,14-044236,BURGLARY-FORCIBLE ENTRY,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834360518000494, -122.26302695599969)"
DOMESTIC VIOLENCE,08/31/2014 05:40:00 PM,14-044293,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30Y,7800 NEY AV,Oakland,CA,"7800 NEY AV
Oakland, CA
(37.767255082000474, -122.16705340399972)"
STOLEN VEHICLE,09/01/2014 03:40:00 PM,14-044430,VEHICLE THEFT - AUTO,24Y,4000 BROOKDALE AV,Oakland,CA,"4000 BROOKDALE AV
Oakland, CA
(37.783982757000445, -122.2057804429997)"
BURG - COMMERCIAL,08/30/2014 06:00:00 PM,14-044249,ATTEMPTED BURGLARY,03X,300 8TH ST,Oakland,CA,"300 8TH ST
Oakland, CA
(37.798845352000455, -122.27025295699968)"
PETTY THEFT,08/31/2014 01:00:00 PM,14-044292,VANDALISM,34X,1600 92ND AV,Oakland,CA,"1600 92ND AV
Oakland, CA
(37.749755010000456, -122.17145281999973)"
GRAND THEFT,09/01/2014 12:00:00 AM,14-044577,THEFT,10Y,800 58TH ST,Oakland,CA,"800 58TH ST
Oakland, CA
(37.84342537300046, -122.27068696199973)"
FELONY ASSAULT,08/31/2014 01:00:00 AM,14-044361,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,2300 73RD AV,Oakland,CA,"2300 73RD AV
Oakland, CA
(37.76427754400049, -122.17916701099972)"
STOLEN VEHICLE,08/20/2014 11:00:00 PM,14-044272,VEHICLE THEFT - AUTO,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.79908413700048, -122.27306541999968)"
MISDEMEANOR ASSAULT,08/25/2014 04:30:00 PM,14-043136,EXHIBIT FIREARM,17X,1200 FOOTHILL BLVD,Oakland,CA,"1200 FOOTHILL BLVD
Oakland, CA
(37.79187991300046, -122.24606857699968)"
STOLEN VEHICLE,08/30/2014 01:00:00 PM,14-044382,VEHICLE THEFT - AUTO,24X,2300 ROSEDALE AV,Oakland,CA,"2300 ROSEDALE AV
Oakland, CA
(37.78142993300048, -122.20849934599971)"
DOMESTIC VIOLENCE,09/01/2014 06:30:00 PM,14-044436,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,2000 85TH AV,Oakland,CA,"2000 85TH AV
Oakland, CA
(37.75686495600047, -122.17037773699968)"
ROBBERY,08/31/2014 11:45:00 PM,14-044326,ROBBERY-FIREARM,34X,90TH AVE AND INTERNATIONAL BLVD,Oakland,CA,"90TH AVE AND INTERNATIONAL BLVD
Oakland, CA
(37.80508210800048, -122.27306651899971)"
BURG - AUTO,08/30/2014 08:45:00 PM,14-044182,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA,"300 24TH ST
Oakland, CA
(37.81294766500048, -122.26287485599971)"
WEAPONS,08/28/2014 06:39:00 PM,14-043800,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,25X,3800 MACARTHUR BLVD,Oakland,CA,"3800 MACARTHUR BLVD
Oakland, CA
(37.79173618900046, -122.19871228899973)"
BURG - AUTO,08/31/2014 11:45:00 AM,14-044214,BURGLARY-AUTO,04X,1700 WEBSTER ST,Oakland,CA,"1700 WEBSTER ST
Oakland, CA
(37.805992491000495, -122.2671221659997)"
MISDEMEANOR ASSAULT,08/29/2014 02:25:00 PM,14-043936,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,19X,1400 INTERNATIONAL BLVD,Oakland,CA,"1400 INTERNATIONAL BLVD
Oakland, CA
(37.789265969000496, -122.2457876679997)"
BURG - AUTO,08/25/2014 12:00:00 PM,14-043225,BURGLARY-AUTO,22Y,3400 ARIZONA ST,Oakland,CA,"3400 ARIZONA ST
Oakland, CA
(37.796586006000496, -122.19725024199971)"
BURG - COMMERCIAL,09/02/2014 01:30:00 AM,14-044499,VANDALISM,03X,300 6TH ST,Oakland,CA,"300 6TH ST
Oakland, CA
(37.79749133000047, -122.27114688899968)"
MISDEMEANOR ASSAULT,08/31/2014 05:20:00 PM,14-044291,BATTERY,26X,5400 COLISEUM WY,Oakland,CA,"5400 COLISEUM WY
Oakland, CA
(37.76221442700046, -122.21212472599973)"
STOLEN VEHICLE,08/31/2014 08:00:00 AM,14-044298,VEHICLE THEFT - AUTO,26Y,1200 61ST AV,Oakland,CA,"1200 61ST AV
Oakland, CA
(37.76185215300046, -122.20148048299973)"
BURG - AUTO,08/25/2014 11:30:00 AM,14-043082,BURGLARY-AUTO,09X,5100 BROADWAY,Oakland,CA,"5100 BROADWAY
Oakland, CA
(37.83539411400045, -122.25164125899971)"
STOLEN VEHICLE,08/26/2014 01:50:00 PM,14-043291,VEHICLE THEFT - AUTO,24Y,3000 38TH AV,Oakland,CA,"3000 38TH AV
Oakland, CA
(37.78751565300047, -122.20340674299968)"
ROBBERY,08/31/2014 09:00:00 PM,14-044304,ROBBERY-FIREARM,27Y,5900 E 17TH STREET,Oakland,CA,"5900 E 17TH STREET
Oakland, CA
(37.76655404100046, -122.19731595099972)"
NARCOTICS,09/02/2014 03:15:00 AM,14-044481,POSSESS/PURCHASE COCAINE BASE FOR SALE,07X,3300 MAGNOLIA ST,Oakland,CA,"3300 MAGNOLIA ST
Oakland, CA
(37.824862615000484, -122.28171116099969)"
DOMESTIC VIOLENCE,08/30/2014 07:30:00 AM,14-044144,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,10X,63RD ST AND SAN PABLO AVE,Oakland,CA,"63RD ST AND SAN PABLO AVE
Oakland, CA
(37.846040951000475, -122.28476708199969)"
ROBBERY,08/31/2014 05:20:00 AM,14-044221,CARJACKING WITH FIREARM,03Y,500 10TH ST,Oakland,CA,"500 10TH ST
Oakland, CA
(37.80189229000047, -122.27369457599968)"
ROBBERY,08/30/2014 01:31:00 PM,14-044120,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32X,9800 D ST,Oakland,CA,"9800 D ST
Oakland, CA
(37.741869386000474, -122.17559040299972)"
MISDEMEANOR ASSAULT,08/31/2014 10:00:00 AM,14-044327,DISTURB THE PEACE,19X,1300 E15TH STREET,Oakland,CA,"1300 E15TH STREET
Oakland, CA
(37.80508210800048, -122.27306651899971)"
BURG - AUTO,08/30/2014 02:30:00 PM,14-044137,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
STOLEN VEHICLE,08/30/2014 06:16:00 PM,14-044151,VEHICLE THEFT - AUTO,28X,3400 HIGH ST,Oakland,CA,"3400 HIGH ST
Oakland, CA
(37.78608567100048, -122.19716598499969)"
MISDEMEANOR ASSAULT,08/21/2014 10:15:00 AM,14-042362,BATTERY,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
STOLEN VEHICLE,08/30/2014 09:00:00 PM,14-044284,VEHICLE THEFT - AUTO,35X,8800 THERMAL,Oakland,CA,"8800 THERMAL
Oakland, CA
(37.75756266700046, -122.16087507699973)"
MISDEMEANOR ASSAULT,08/26/2014 09:35:00 PM,14-043426,BATTERY,06X,900 36TH ST,Oakland,CA,"900 36TH ST
Oakland, CA
(37.77291163300049, -122.22382402399973)"
DOMESTIC VIOLENCE,09/02/2014 01:15:00 AM,14-044476,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,2500 35TH AV,Oakland,CA,"2500 35TH AV
Oakland, CA
(37.78715614100048, -122.21171469499973)"
STOLEN VEHICLE,08/26/2014 12:00:00 AM,14-044238,VEHICLE THEFT - AUTO,24Y,4100 PENNIMAN AV,Oakland,CA,"4100 PENNIMAN AV
Oakland, CA
(37.78558075100045, -122.20196756999968)"
STOLEN VEHICLE,09/01/2014 09:09:00 PM,14-044352,VEHICLE THEFT - AUTO,23X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773421415000485, -122.2133695169997)"
DOMESTIC VIOLENCE,09/01/2014 05:45:00 PM,14-044429,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,2700 TELEGRAPH AV,Oakland,CA,"2700 TELEGRAPH AV
Oakland, CA
(37.816252370000484, -122.26785706099969)"
INCIDENT TYPE,08/29/2014 08:00:00 PM,14-044358,VEHICLE THEFT - AUTO,23X,4200 E 17TH ST,Oakland,CA,"4200 E 17TH ST
Oakland, CA
(37.774683843000446, -122.2140111919997)"
FELONY ASSAULT,08/31/2014 07:30:00 PM,14-044306,BURGLARY-FORCIBLE ENTRY,02Y,1000 WILLOW ST,Oakland,CA,"1000 WILLOW ST
Oakland, CA
(37.809764508000455, -122.2987615139997)"
NARCOTICS,09/01/2014 04:20:00 PM,14-044418,POSSESS NARCOTIC CONTROLLED SUBSTANCE,29X,7200 MACARTHUR BLVD,Oakland,CA,"7200 MACARTHUR BLVD
Oakland, CA
(37.76957692900049, -122.17288855899972)"
BURG - AUTO,08/30/2014 10:15:00 PM,14-044212,BURGLARY-AUTO,04X,1800 WEBSTER ST,Oakland,CA,"1800 WEBSTER ST
Oakland, CA
(37.80626396600047, -122.26694465699973)"
THREATS,08/30/2014 07:19:00 PM,14-044160,THREAT CRIME:INT:TERRORIZE,5X,1100 ADELINE ST,Oakland,CA,"1100 ADELINE ST
Oakland, CA
(37.80740979900048, -122.28687803799971)"
RECOVERED O/S STOLEN,08/31/2014 08:20:00 PM,14-044300,VEHICLE THEFT - AUTO,30Y,2800 76TH,Oakland,CA,"2800 76TH
Oakland, CA
(37.767601529000444, -122.16963827499973)"
DOMESTIC VIOLENCE,08/31/2014 01:00:00 AM,14-044286,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,1300 E 15TH ST,Oakland,CA,"1300 E 15TH ST
Oakland, CA
(37.7904511590005, -122.24612848199968)"
GRAND THEFT,08/21/2014 05:15:00 PM,14-042450,GRAND THEFT FROM PERSON,19X,100 E 15TH ST,Oakland,CA,"100 E 15TH ST
Oakland, CA
(37.79920209500045, -122.25603721499971)"
BURG - COMMERCIAL,08/21/2014 09:30:00 AM,14-042541,BURGLARY-NO FORCE,31Y,8400 EDES AV,Oakland,CA,"8400 EDES AV
Oakland, CA
(37.741749324000466, -122.1954536939997)"
ROBBERY,08/31/2014 11:20:00 AM,14-044254,ATTEMPTED ROBBERY-STRONG-ARM,33X,1000 81ST AV,Oakland,CA,"1000 81ST AV
Oakland, CA
(37.75293452300048, -122.18568695399972)"
ROBBERY,08/31/2014 12:17:00 PM,14-044260,ROBBERY-FIREARM,02Y,1700 12TH ST,Oakland,CA,"1700 12TH ST
Oakland, CA
(37.811311971000464, -122.2977159299997)"
OTHER,08/27/2014 05:45:00 PM,14-043564,LOITER:INTENT:PROSTITUTION,19X,1700 MARIN WY,Oakland,CA,"1700 MARIN WY
Oakland, CA
(37.78809829000045, -122.24261651899968)"
NARCOTICS,09/02/2014 02:27:00 AM,14-044478,POSSESS NARCOTIC CONTROLLED SUBSTANCE,32X,1200 99TH AV,Oakland,CA,"1200 99TH AV
Oakland, CA
(37.742472627000495, -122.1712987029997)"
DOMESTIC VIOLENCE,09/02/2014 10:32:00 PM,14-044463,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,10400 PEARMAIN ST.,Oakland,CA,"10400 PEARMAIN ST.
Oakland, CA
(37.735224110000445, -122.17732522999972)"
MISDEMEANOR ASSAULT,08/31/2014 05:40:00 PM,14-044290,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,78TH AND WELD ST,Oakland,CA,"78TH AND WELD ST
Oakland, CA
(37.76009420700046, -122.1794681499997)"
DRUNKENNESS,09/01/2014 05:25:00 PM,14-044428,DISORDERLY CONDUCT - ALCOHOL,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.802981065000495, -122.26751680699971)"
ROBBERY,08/31/2014 04:00:00 AM,14-044230,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,5400 BANCROFT AV,Oakland,CA,"5400 BANCROFT AV
Oakland, CA
(37.771790069000474, -122.20066392699971)"
BURG - AUTO,08/30/2014 08:45:00 PM,14-044181,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA,"300 24TH ST
Oakland, CA
(37.81294766500048, -122.26287485599971)"
GRAND THEFT,09/01/2014 12:00:00 PM,14-044410,GRAND THEFT,11X,500 58TH ST,Oakland,CA,"500 58TH ST
Oakland, CA
(37.84398382100045, -122.26152526299973)"
FELONY ASSAULT,09/01/2014 10:30:00 PM,14-044462,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,07X,3500 SAN PABLO AVE,Oakland,CA,"3500 SAN PABLO AVE
Oakland, CA
(37.82580770900046, -122.27805965299973)"
PETTY THEFT,09/01/2014 11:30:00 AM,14-044407,THEFT,01X,500 3RD ST,Oakland,CA,"500 3RD ST
Oakland, CA
(37.797308487000464, -122.27722352999967)"
PETTY THEFT,08/31/2014 03:09:00 PM,14-044278,THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774240500000474, -122.23027375199968)"
MISDEMEANOR ASSAULT,08/26/2014 10:00:00 AM,14-043246,BATTERY,30X,6600 BANCROFT AV,Oakland,CA,"6600 BANCROFT AV
Oakland, CA
(37.76979816800048, -122.18318650199973)"
NARCOTICS,08/31/2014 12:25:00 AM,14-044199,POSSESS NARCOTIC CONTROLLED SUBSTANCE,23X,1500 36TH AV,Oakland,CA,"1500 36TH AV
Oakland, CA
(37.77724421200048, -122.22094216699969)"
INCIDENT TYPE,08/31/2014 10:00:00 PM,14-044411,VEHICLE THEFT - AUTO,31Z,500 COLORADOS DR,Oakland,CA,"500 COLORADOS DR
Oakland, CA
(37.728810516000465, -122.1767848769997)"
STOLEN VEHICLE,08/31/2014 10:00:00 PM,14-044348,VEHICLE THEFT - AUTO,31Y,9500 EDES AV,Oakland,CA,"9500 EDES AV
Oakland, CA
(37.7373685930005, -122.18662096299971)"
DOMESTIC VIOLENCE,09/01/2014 09:10:00 PM,14-044454,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,400 STATEN AV,Oakland,CA,"400 STATEN AV
Oakland, CA
(37.810410565000495, -122.25356498799971)"
OTHER,08/29/2014 05:35:00 PM,14-043966,SELL/ETC LIQUOR TO MINOR,35X,7900 MOUNTAIN BLVD,Oakland,CA,"7900 MOUNTAIN BLVD
Oakland, CA
(37.771791615000495, -122.15551675799969)"
BURG - RESIDENTIAL,08/29/2014 04:00:00 PM,14-044359,BURGLARY-FORCIBLE ENTRY,26X,6300 SAN LEANDRO ST,Oakland,CA,"6300 SAN LEANDRO ST
Oakland, CA
(37.758578281000496, -122.20282116299973)"
PETTY THEFT,09/01/2014 08:45:00 AM,14-044363,THEFT,01X,300 2ND ST,Oakland,CA,"300 2ND ST
Oakland, CA
(37.794661687000485, -122.2727451019997)"
DOMESTIC VIOLENCE,08/30/2014 03:00:00 AM,14-044054,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2100 51ST AVE,Oakland,CA,"2100 51ST AVE
Oakland, CA
(37.773821936000445, -122.20413383299973)"
STOLEN VEHICLE,08/21/2014 05:15:00 PM,14-042717,VEHICLE THEFT - AUTO,30Y,3100 PARTRIDGE AV,Oakland,CA,"3100 PARTRIDGE AV
Oakland, CA
(37.76514294900045, -122.16184854699969)"
DOMESTIC VIOLENCE,09/01/2014 11:00:00 PM,14-044473,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2000 HIGH ST,Oakland,CA,"2000 HIGH ST
Oakland, CA
(37.77583856500047, -122.21045003499972)"
STOLEN VEHICLE,08/31/2014 08:00:00 PM,14-044380,VEHICLE THEFT - AUTO,23X,1600 36TH AV,Oakland,CA,"1600 36TH AV
Oakland, CA
(37.77878366100049, -122.22001227699968)"
BURG - AUTO,08/29/2014 01:20:00 PM,14-043947,BURGLARY-AUTO,32X,8400 EDGEWATER DR.,Oakland,CA,"8400 EDGEWATER DR.
Oakland, CA
(37.73782612000048, -122.19925472599971)"
NARCOTICS,08/31/2014 08:42:00 AM,14-044233,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,34X,9500 INTERNATIONAL BLVD,Oakland,CA,"9500 INTERNATIONAL BLVD
Oakland, CA
(37.74642561900049, -122.17191996099967)"
ROBBERY,08/31/2014 01:00:00 AM,14-044205,SC ROBBERY - FIREARM,30Y,7900 MACARTHUR BLVD,Oakland,CA,"7900 MACARTHUR BLVD
Oakland, CA
(37.76520308300047, -122.1670265629997)"
STOLEN VEHICLE,08/30/2014 02:00:00 PM,14-044274,VEHICLE THEFT - AUTO,13Y,00 YANKEE HILL,Oakland,CA,"00 YANKEE HILL
Oakland, CA
(37.85597109800045, -122.22765800499968)"
FRAUD,08/30/2014 03:15:00 PM,14-044134,USE OTHERS ID:CREDIT/ETC,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.80514786900045, -122.29404292599969)"
PETTY THEFT,08/31/2014 04:44:00 PM,14-044280,VANDALISM,08X,3000 BROOK ST,Oakland,CA,"3000 BROOK ST
Oakland, CA
(37.818642241000475, -122.2611061019997)"
BURG - AUTO,08/30/2014 10:00:00 PM,14-044213,BURGLARY-AUTO,04X,1700 WEBSTER ST,Oakland,CA,"1700 WEBSTER ST
Oakland, CA
(37.805992491000495, -122.2671221659997)"
PETTY THEFT,08/27/2014 08:33:00 AM,14-043444,THEFT,06X,700 30TH ST,Oakland,CA,"700 30TH ST
Oakland, CA
(37.81982643400045, -122.27186377399971)"
STOLEN VEHICLE,08/21/2014 12:00:00 PM,14-042393,VEHICLE THEFT - AUTO,25X,3600 MAYBELLE AV,Oakland,CA,"3600 MAYBELLE AV
Oakland, CA
(37.78854803700045, -122.19572210699971)"
FELONY ASSAULT,08/31/2014 09:58:00 PM,14-044308,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,9300 PEACH ST,Oakland,CA,"9300 PEACH ST
Oakland, CA
(37.75240908300049, -122.16345367599968)"
DOMESTIC VIOLENCE,08/31/2014 06:00:00 PM,14-044419,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,500 32ND ST,Oakland,CA,"500 32ND ST
Oakland, CA
(37.82094601500046, -122.26678117799969)"
,09/01/2014 10:50:00 PM,14-044465,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17Y,1300 BLK. OF EAST 28TH ST.,Oakland,CA,"1300 BLK. OF EAST 28TH ST.
Oakland, CA
(37.80508210800048, -122.27306651899971)"
MISDEMEANOR ASSAULT,09/02/2014 12:00:00 AM,14-044547,DISTURB THE PEACE,27Y,6500 FLORA ST,Oakland,CA,"6500 FLORA ST
Oakland, CA
(37.76509204100046, -122.19096609999968)"
MISDEMEANOR ASSAULT,08/31/2014 02:59:00 AM,14-044215,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,23X,4200 INTERNATIONAL BLVD,Oakland,CA,"4200 INTERNATIONAL BLVD
Oakland, CA
(37.77286947500045, -122.21586082299973)"
NARCOTICS,08/30/2014 02:59:00 PM,14-044130,POSSESS MARIJUANA/HASHISH FOR SALE,34X,1400 87TH AV,Oakland,CA,"1400 87TH AV
Oakland, CA
(37.75169436000044, -122.17571285999969)"
STOLEN VEHICLE,08/30/2014 10:30:00 PM,14-044242,VEHICLE THEFT - AUTO,24X,2200 39TH AV,Oakland,CA,"2200 39TH AV
Oakland, CA
(37.78174617700046, -122.21115238099969)"
DOMESTIC VIOLENCE,09/02/2014 07:52:00 PM,14-044666,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,01X,400 EMBARCADERO WEST,Oakland,CA,"400 EMBARCADERO WEST
Oakland, CA
(37.79499842700045, -122.27562295199971)"
