CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ARSON,08/22/2014 02:25:00 AM,14-042515,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,31Y,10200 CARY ST,Oakland,CA,"10200 CARY ST
Oakland, CA
(37.733250307000446, -122.18063877799972)"
BURG - AUTO,08/21/2014 12:00:00 AM,14-042342,BURGLARY-AUTO,30X,2300 HAVENSCOURT BLVD,Oakland,CA,"2300 HAVENSCOURT BLVD
Oakland, CA
(37.765296203000446, -122.18809406999969)"
BURG - COMMERCIAL,08/21/2014 12:00:00 PM,14-042403,BURGLARY-NO FORCE,01X,00 BROADWAY,Oakland,CA,"00 BROADWAY
Oakland, CA
(37.798830061000444, -122.2745964179997)"
RECOVERED O/S STOLEN,08/21/2014 02:20:00 PM,14-042414,VEHICLE THEFT - AUTO,32X,9900 A ST,Oakland,CA,"9900 A ST
Oakland, CA
(37.74192568000046, -122.17198276699969)"
STOLEN VEHICLE,08/21/2014 02:50:00 PM,14-042415,VEHICLE THEFT - AUTO,33X,9600 B ST,Oakland,CA,"9600 B ST
Oakland, CA
(37.743989360000455, -122.17475410299971)"
PETTY THEFT,08/31/2014 09:30:00 PM,14-042416,THEFT,04X,600 14TH ST,Oakland,CA,"600 14TH ST
Oakland, CA
(37.80583693400047, -122.27494846399969)"
DOMESTIC VIOLENCE,08/24/2014 05:50:00 AM,14-042892,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,12X,4600 DOVER ST,Oakland,CA,"4600 DOVER ST
Oakland, CA
(37.84320103500045, -122.26781927699972)"
DOMESTIC VIOLENCE,08/24/2014 06:30:00 AM,14-042893,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,5800 HARMON AV,Oakland,CA,"5800 HARMON AV
Oakland, CA
(37.76902535300047, -122.19571040299968)"
THREATS,08/24/2014 12:30:00 AM,14-042915,THREAT CRIME:INT:TERRORIZE,25X,3600 MADRONE AV,Oakland,CA,"3600 MADRONE AV
Oakland, CA
(37.78724895500045, -122.19318403299968)"
STOLEN VEHICLE,08/22/2014 09:00:00 PM,14-042917,VEHICLE THEFT - AUTO,15X,1000 MACARTHUR BLVD,Oakland,CA,"1000 MACARTHUR BLVD
Oakland, CA
(37.80534672700048, -122.23636671099968)"
MISDEMEANOR ASSAULT,08/24/2014 10:18:00 AM,14-042922,BATTERY,17Y,1100 E 24TH ST,Oakland,CA,"1100 E 24TH ST
Oakland, CA
(37.81699793500047, -122.28246364599971)"
STOLEN VEHICLE,08/23/2014 10:15:00 PM,14-042924,VEHICLE THEFT - AUTO,25Y,7400 MOUNTAIN BLVD,Oakland,CA,"7400 MOUNTAIN BLVD
Oakland, CA
(37.775295704000484, -122.16111684799972)"
BURG - COMMERCIAL,08/23/2014 08:00:00 PM,14-042925,BURGLARY-FORCIBLE ENTRY,12Y,6000 COLLEGE AV,Oakland,CA,"6000 COLLEGE AV
Oakland, CA
(37.84834461000048, -122.25212521799972)"
MISDEMEANOR ASSAULT,08/24/2014 11:00:00 AM,14-042927,BATTERY,27X,5100 FOOTHILL BLVD,Oakland,CA,"5100 FOOTHILL BLVD
Oakland, CA
(37.77267062900046, -122.20499465899968)"
